sessionNo,startHour,startWeekday,duration,cCount,cMinPrice,cMaxPrice,cSumPrice,bCount,bMinPrice,bMaxPrice,bSumPrice,bStep,onlineStatus,availability,customerNo,maxVal,customerScore,accountLifetime,payments,age,address,lastOrder,rCount,bMinPriceVariance,bMaxPriceVariance,bMeanVariance,cMeanVariance,order
30,18,7,2117.586,20,9.99,9.99,189.81,3,9.99,9.99,29.97,1,y,completely orderable,?,?,?,?,?,?,?,?,1,0,0,0,0,0
31,18,7,2874.579,31,17.99,59.95,1177.37,7,17.99,59.95,255.89,5,y,completely orderable,25056,2700,603,231,5,48,1,129,1,23.75,23.75,23.75,23.75,1
32,18,7,1087.098,20,0,19.99,73.96,5,0,19.99,36.98,?,y,completely orderable,25057,1000,552,45,43,33,1,7,1,45.8694122449,45.8694122449,45.8694122449,45.8694122449,1
33,18,7,7945.024,131,7,169.95,2911.96,13,7,39.99,255.88,?,y,completely orderable,25058,1700,70,165,2,51,2,362,1,3.229209,3.229209,3.229209,3.229209,1
34,18,7,1264.035,47,5.95,799.99,3561.79,7,5.95,799.99,1037.77,2,y,completely orderable,6205,1600,436,27,29,51,2,52,1,70.7659102041,70.7659102041,70.7659102041,70.7659102041,0
35,18,7,2492.864,17,39.99,379.99,4586.86,2,39.99,249.99,289.98,?,y,completely orderable,?,?,?,?,?,?,?,?,1,6125,6125,6125,6125,1
36,18,7,314.765,8,14.99,24.99,169.92,2,14.99,24.99,39.98,4,y,completely orderable,24636,2500,558,224,7,57,1,82,1,0,0,0,0,0
37,18,7,2132.185,27,3.99,59.99,240.81,4,3.99,9.99,27.96,5,y,completely orderable,?,?,?,?,?,?,?,?,1,0,0,0,0,1
38,18,7,889.251,14,39.99,129.99,1394.86,1,129.99,129.99,129.99,5,y,completely orderable,25059,1400,467,53,8,45,2,54,0,0,0,0,0,1
39,18,7,383.823,7,3.99,49.99,159.93,7,3.99,49.99,159.93,?,y,completely orderable,?,?,?,?,?,?,?,?,1,38.3434903047,38.3434903047,38.3434903047,38.3434903047,1
40,18,7,211.343,10,19.99,24.99,224.9,2,19.99,24.99,44.98,5,y,completely orderable,3310,1100,461,76,13,38,2,9,1,0,0,0,0,1
41,18,7,453.018,6,79.99,79.99,239.97,1,79.99,79.99,79.99,2,y,completely orderable,?,?,?,?,?,?,?,?,0,0,0,0,0,0
42,18,7,3701.122,55,3.99,24.99,445.54,7,3.99,19.99,93.89,5,y,completely orderable,?,?,?,?,?,?,?,?,1,1.97215226305253E-31,1.97215226305253E-31,1.97215226305253E-31,1.97215226305253E-31,1
43,18,7,25.041,1,49.99,49.99,49.99,1,49.99,49.99,49.99,1,y,completely orderable,?,?,?,?,?,?,?,?,0,0,0,0,0,0
44,18,7,127.995,8,9.99,39.99,139.94,2,14.99,29.99,44.98,?,?,?,25060,?,?,?,0,26,2,18,1,0,0,0,0,0
45,18,7,971.257,10,9.9,19.99,159.53,3,19.95,19.99,59.89,?,y,completely orderable,25061,4000,566,48,13,54,2,33,1,0.00009375,0.00009375,0.00009375,0.00009375,1
46,18,7,1459.234,9,9.99,59.95,195.83,9,9.99,59.95,195.83,?,y,completely orderable,25062,600,495,100,2,53,1,33,1,14.5473061224,14.5473061224,14.5473061224,14.5473061224,1
47,18,7,1249.254,16,5.99,14.99,167.89,5,5.99,14.99,59.95,?,y,completely orderable,25063,200,556,84,5,43,2,53,1,10.8888888889,10.8888888889,10.8888888889,10.8888888889,0
48,18,7,327.78,5,39.99,39.99,199.95,5,39.99,39.99,199.95,1,y,?,?,?,?,?,?,?,?,?,1,0,0,0,0,0
49,18,7,327.907,9,14.99,29.99,209.91,4,14.99,29.99,89.96,5,y,completely orderable,25064,4000,583,228,5,43,2,99,1,4.4378698225,4.4378698225,4.4378698225,4.4378698225,1
50,18,7,245.302,11,7.99,9.99,94.89,1,8.99,8.99,8.99,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0,0,0
51,18,7,8169.485,81,9.99,49.99,2509.76,8,12.99,49.99,248.92,5,y,completely orderable,25065,1700,542,210,8,49,2,19,1,304.2222222222,304.2222222222,304.2222222222,304.2222222222,1
52,18,7,108.829,5,17.95,17.95,89.75,2,17.95,17.95,35.9,?,y,completely orderable,25066,600,559,25,3,46,2,30,1,0,0,0,0,1
53,18,7,265.621,3,9.99,49.99,59.98,3,9.99,49.99,59.98,?,y,completely orderable,25067,4000,577,223,15,58,1,79,1,276.5432098765,276.5432098765,276.5432098765,276.5432098765,0
54,18,7,1485.874,15,22.99,599.99,3057.85,3,22.99,399.99,462.97,?,y,completely orderable,25068,600,80,52,244,56,2,8,1,17177.3469387755,17177.3469387755,17177.3469387755,17177.3469387755,1
55,18,7,262.125,5,179.99,179.99,719.96,1,179.99,179.99,179.99,2,y,completely orderable,?,?,?,?,?,?,?,?,0,0,0,0,0,0
56,18,7,3177.349,94,7.99,549.99,1672.17,4,9.99,17.99,55.96,?,y,completely orderable,?,?,?,?,?,?,?,?,1,11.0617283951,11.0617283951,11.0617283951,11.0617283951,1
57,18,7,353.061,3,179.99,179.99,539.97,1,179.99,179.99,179.99,1,y,completely orderable,?,?,?,?,?,?,?,?,0,0,0,0,0,0
58,18,7,2220.123,39,17.95,399.99,1100.39,11,17.95,39.99,240.81,1,y,completely orderable,25069,600,550,133,4,40,1,26,1,0,0,0,0,0
59,18,7,4243.712,53,69.99,1111,21617.73,8,79.99,888,3397.97,1,y,?,?,?,?,?,?,?,?,?,1,0,0,0,0,1
60,18,7,2301.473,44,7,27.99,510.64,5,9.99,14.99,63.95,?,y,completely orderable,25070,600,567,218,4,51,2,26,1,2.2040816327,2.2040816327,2.2040816327,2.2040816327,1
61,18,7,1825.883,26,3.99,32.99,447.8,2,3.99,29.99,33.98,?,?,?,25071,1100,519,196,18,40,2,38,1,0,0,0,0,0
62,18,7,18.059,1,?,?,?,1,?,?,?,2,y,completely orderable,?,?,?,?,?,?,?,?,0,0,0,0,0,0
63,18,7,5707.385,57,17.99,119.95,2653.5,5,17.99,49.99,162.91,?,y,completely orderable,25072,1900,573,149,9,38,2,18,1,55.4875283447,55.4875283447,55.4875283447,55.4875283447,1
64,18,7,278.983,12,9.99,29.99,264.8,2,24.99,29.99,54.98,?,?,?,25073,2400,581,82,6,26,2,117,1,0,0,0,0,0
65,18,7,553.521,4,29.99,29.99,119.96,1,29.99,29.99,29.99,?,y,completely orderable,?,?,?,?,?,?,?,?,0,0,0,0,0,1
66,18,7,371.078,2,15,15,30,1,15,15,15,5,y,completely orderable,?,?,?,?,?,?,?,?,0,0,0,0,0,1
67,18,7,1792.01,8,29.99,64.99,339.92,3,29.99,64.99,134.97,?,y,completely orderable,25074,600,463,15,14,30,2,33,1,13.8888888889,13.8888888889,13.8888888889,13.8888888889,1
68,18,7,87.971,2,79.99,79.99,159.98,1,79.99,79.99,79.99,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0,0,0
69,18,7,4506.443,109,1,1699,3498.75,9,3,39.99,114.98,?,y,completely orderable,?,?,?,?,?,?,?,?,1,117.8999632653,117.8999632653,117.8999632653,117.8999632653,1
70,18,7,120.7,12,14.99,39.95,239.61,2,15.99,15.99,31.98,?,?,?,?,?,?,?,?,?,?,?,1,0,0,0,0,0
71,18,7,116.107,5,3.99,29.99,97.95,2,3.99,29.99,33.98,?,y,completely orderable,25075,3600,545,224,22,53,2,70,1,0,0,0,0,1
72,18,7,14.8,3,7.99,7.99,23.97,1,7.99,7.99,7.99,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0,0,0
73,18,7,512.262,3,49.99,49.99,149.97,1,49.99,49.99,49.99,?,y,completely orderable,?,?,?,?,?,?,?,?,0,0,0,0,0,1
74,18,7,0,2,14.99,22.99,37.98,2,14.99,22.99,37.98,?,?,?,?,?,?,?,?,?,?,?,1,0,0,0,0,0
75,18,7,761.276,29,9.99,59.99,561.71,5,14.99,59.99,129.95,1,y,completely orderable,?,?,?,?,?,?,?,?,1,0,0,0,0,0
76,18,7,22.581,19,4.99,59.99,319.85,19,4.99,59.99,319.85,?,?,?,?,?,?,?,?,?,?,?,1,4.9318725762,4.9318725762,4.9318725762,4.9318725762,0
77,18,7,399.789,2,39.99,39.99,79.98,1,39.99,39.99,39.99,2,y,completely orderable,?,?,?,?,?,?,?,?,0,0,0,0,0,0
78,18,7,1917.907,39,4.99,199.99,1643.6,11,4.99,199.99,463.9,?,y,completely orderable,25076,4000,532,110,4,31,2,7,1,1219.0895061728,1219.0895061728,1219.0895061728,1219.0895061728,1
79,18,7,338.361,5,249.99,399.99,1849.95,2,399.99,399.99,799.98,5,y,completely orderable,?,?,?,?,?,?,?,?,1,0,0,0,0,1
80,18,7,2040.493,15,19.99,69.99,341.87,1,19.99,19.99,19.99,2,y,completely orderable,?,?,?,?,?,?,?,?,0,0,0,0,0,0
81,18,7,678.913,4,59.99,69.95,269.84,1,69.95,69.95,69.95,5,y,completely orderable,25077,300,443,90,14,44,2,17,0,0,0,0,0,1
82,18,7,854.05,5,3.99,3.99,7.98,1,3.99,3.99,3.99,?,y,completely orderable,25078,1600,501,146,12,44,2,134,0,0,0,0,0,1
83,18,7,7925.233,49,59.95,149.95,5727.65,5,89.95,139.95,609.75,?,y,completely orderable,10157,600,430,10,10,30,2,7,1,276,276,276,276,1
84,18,7,1765.658,38,6.99,103.96,452.72,2,9.99,14.99,24.98,?,y,completely orderable,25079,600,552,44,1,48,1,230,1,0,0,0,0,1
85,18,7,634.766,3,79.82,79.99,239.8,1,79.99,79.99,79.99,?,y,completely orderable,25080,700,523,73,6,42,2,35,0,0,0,0,0,1
86,18,7,177.727,8,15.99,59.99,227.94,2,15.99,59.99,75.98,?,y,completely orderable,25081,1400,508,43,12,50,1,139,1,430.2222222222,430.2222222222,430.2222222222,430.2222222222,1
87,18,7,1414.766,37,9.99,49.99,969.52,4,12.99,40,112.97,?,?,?,25082,?,?,?,0,20,2,15,1,0,0,0,0,1
88,18,7,363.248,2,19.99,19.99,39.98,2,19.99,19.99,39.98,2,y,completely orderable,?,?,?,?,?,?,?,?,1,0,0,0,0,0
89,18,7,1428.302,55,1,24.99,356.74,7,3.99,12.99,75.93,?,y,completely orderable,?,?,?,?,?,?,?,?,1,11,11,11,11,1
90,18,7,137.93,5,7.99,12.99,44.95,1,7.99,7.99,7.99,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0,0,0
91,18,7,456.126,6,599.99,999.99,4719.94,2,659.99,899.99,1559.98,5,y,completely orderable,?,?,?,?,?,?,?,?,1,2736,2736,2736,2736,0
92,18,7,4451.706,71,3.99,19.99,727.32,9,7,19.99,124.88,?,y,completely orderable,25083,600,70,14,1,31,2,406,1,2.1793041551,2.1793041551,2.1793041551,2.1793041551,1
93,18,7,1481.414,12,3.99,449.99,2127.88,3,3.99,179.99,353.97,5,y,completely orderable,25084,800,477,342,10,59,2,36,1,7018.7654320988,7018.7654320988,7018.7654320988,7018.7654320988,1
94,18,7,678.423,8,499,599,3474,1,?,?,?,1,y,completely not orderable,25085,300,434,245,10,51,1,34,0,0,0,0,0,0
95,18,7,2824.902,2,99.99,99.99,199.98,1,99.99,99.99,99.99,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0,0,0
96,18,7,1145.88,20,9.99,500,1141.81,5,9.99,64.99,107.95,?,?,?,25086,4000,534,219,14,49,2,113,1,0,0,0,0,1
97,18,7,396.031,17,39.99,79.95,1010.51,1,39.99,39.99,39.99,4,y,completely orderable,25087,300,477,8,4,34,1,22,0,0,0,0,0,0
98,18,7,505.553,9,24.99,69.99,454.91,1,69.99,69.99,69.99,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0,0,0
99,18,7,813.291,7,9.99,49.99,309.93,2,49.99,49.99,99.98,?,y,completely orderable,?,?,?,?,?,?,?,?,1,0,0,0,0,1
100,18,7,1087.474,4,39.99,39.99,159.96,1,39.99,39.99,39.99,5,y,completely orderable,?,?,?,?,?,?,?,?,0,0,0,0,0,1
101,18,7,885.257,17,19.99,65.95,870.71,3,19.99,59.99,139.97,2,y,completely orderable,?,?,?,?,?,?,?,?,1,0,0,0,0,0
102,18,7,1345.165,4,99.99,99.99,399.96,1,99.99,99.99,99.99,1,y,completely orderable,25088,500,441,88,19,26,1,72,0,0,0,0,0,0
103,18,7,5306.336,49,9.99,79.99,795.7,3,15,16.99,46.99,?,y,completely orderable,25089,700,531,223,7,60,1,666,1,0,0,0,0,1
104,18,7,2731.407,46,29.99,169.95,2968.61,8,99.95,99.95,799.6,1,y,?,25090,4000,558,203,22,39,2,13,1,0,0,0,0,0
105,18,7,723.469,11,3.99,44.99,247.89,8,3.99,25.99,154.92,5,y,completely orderable,25091,4000,562,268,10,52,1,13,1,0,0,0,0,1
106,18,7,22.503,1,6.99,6.99,6.99,1,6.99,6.99,6.99,?,y,completely orderable,47,300,537,5,0,53,1,34,0,0,0,0,0,0
107,18,7,600.563,8,7.99,9.99,49.94,2,7.99,7.99,15.98,5,y,completely orderable,25092,600,498,263,25,23,1,26,1,0,0,0,0,1
108,18,7,58.112,3,7,7,21,1,7,7,7,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0,0,0
109,18,7,1730.828,36,6.99,29.99,332.78,4,6.99,29.99,58.96,?,y,completely orderable,25093,600,70,18,0,64,2,551,1,24.9690082645,24.9690082645,24.9690082645,24.9690082645,1
110,18,7,6328.174,176,2.99,100,2417.16,14,2.99,14.99,103.93,1,y,completely orderable,?,?,?,?,?,?,?,?,1,7.4164019592,7.4164019592,7.4164019592,7.4164019592,0
111,18,7,777.331,10,5.99,24.99,146.9,4,5.99,24.99,55.96,?,y,completely orderable,25094,4000,521,215,5,64,2,39,1,32.01,32.01,32.01,32.01,1
112,18,7,4312.445,7,39.99,279.99,899.93,1,39.99,39.99,39.99,3,y,completely orderable,25095,100,517,3,1,34,1,110,0,0,0,0,0,0
113,18,7,44.369,2,749.99,749.99,1499.98,1,749.99,749.99,749.99,1,y,completely orderable,?,?,?,?,?,?,?,?,0,1.29246970711411E-26,1.29246970711411E-26,1.29246970711411E-26,1.29246970711411E-26,0
114,18,7,84.277,3,9.99,14.99,39.97,3,9.99,14.99,39.97,1,y,?,25096,1500,479,78,15,35,2,39,1,3.4722222222,3.4722222222,3.4722222222,3.4722222222,0
115,18,7,2022.122,28,1,24.99,191.93,4,3,24.99,60.97,?,y,completely orderable,25097,4000,597,214,5,47,2,92,1,48.575224,48.575224,48.575224,48.575224,1
116,18,7,175.352,5,459.99,899.99,3519.95,1,899.99,899.99,899.99,5,y,completely orderable,?,?,?,?,?,?,?,?,0,1.29246970711411E-26,1.29246970711411E-26,1.29246970711411E-26,1.29246970711411E-26,0
117,18,7,1866.104,22,1,39.99,256.95,3,7,14.99,31.99,?,y,completely orderable,?,?,?,?,?,?,?,?,1,6.3051950617,6.3051950617,6.3051950617,6.3051950617,1
118,18,7,10.742,2,59.99,59.99,119.98,1,59.99,59.99,59.99,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0,0,0
119,18,7,125.961,2,369.99,369.99,739.98,1,369.99,369.99,369.99,3,y,completely orderable,?,?,?,?,?,?,?,?,0,3.23117426778526E-27,3.23117426778526E-27,3.23117426778526E-27,3.23117426778526E-27,0
120,18,7,732.259,38,9.99,69.99,1166.62,3,19.99,29.99,79.97,?,?,?,?,?,?,?,?,?,?,?,1,10.9375,10.9375,10.9375,10.9375,0
121,18,7,746.402,14,19.99,19.99,79.96,2,19.99,19.99,39.98,?,?,?,?,?,?,?,?,?,?,?,1,0,0,0,0,0
122,18,7,1917.769,22,14.99,29.99,395.8,5,14.99,29.99,98.95,?,?,?,25098,4000,557,219,10,46,2,15,1,0,0,0,0,0
123,18,7,4.35,1,3.99,3.99,3.99,1,3.99,3.99,3.99,1,y,completely orderable,?,?,?,?,?,?,?,?,0,0,0,0,0,0
124,18,7,2355.478,29,19.99,99.99,389.91,2,34.99,49.99,84.98,5,y,completely orderable,?,?,?,?,?,?,?,?,1,27.5510204082,27.5510204082,27.5510204082,27.5510204082,1
125,18,7,11.598,4,29.99,29.99,119.96,1,29.99,29.99,29.99,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0,0,0
126,18,7,954.687,15,12.99,24.99,210.87,1,12.99,12.99,12.99,?,y,completely orderable,25099,4000,609,310,5,58,2,27,0,0,0,0,0,0
127,18,7,12.762,1,659.99,659.99,659.99,1,659.99,659.99,659.99,1,y,completely orderable,21348,500,525,9,5,65,1,174,0,0,0,0,0,0
128,18,7,45.188,2,12.99,12.99,25.98,1,12.99,12.99,12.99,2,y,completely orderable,?,?,?,?,?,?,?,?,0,0,0,0,0,0
129,18,7,405.877,5,29.99,39.99,99.97,1,29.99,29.99,29.99,2,y,completely orderable,?,?,?,?,?,?,?,?,0,0,0,0,0,0
130,18,7,1729.51,33,9.99,89.99,1006.72,3,9.99,69.99,109.97,1,y,?,25100,1500,552,369,0,55,2,210,1,0,0,0,0,0
131,18,7,4567.48,76,4.99,79.99,1696.02,10,9.99,19.99,112.9,5,y,completely orderable,25101,3900,576,253,17,48,2,24,1,0,0,0,0,1
132,18,7,1488.349,21,0.99,269.99,1961.9,1,269.99,269.99,269.99,5,y,completely orderable,25102,300,513,1,0,44,1,6,0,0,0,0,0,1
133,18,7,446.333,8,9.99,49.99,319.92,2,49.99,49.99,99.98,?,y,completely orderable,25103,4000,572,141,4,29,1,335,1,0,0,0,0,1
134,18,7,3397.627,2,19.99,29.99,49.98,1,19.99,19.99,19.99,5,y,completely orderable,25104,800,505,140,22,32,2,24,0,0,0,0,0,1
135,18,7,4250.777,72,3.99,124.95,2296.33,4,3.99,16.99,52.96,3,y,completely orderable,?,?,?,?,?,?,?,?,1,20.9135802469,20.9135802469,20.9135802469,20.9135802469,0
136,18,7,743.591,3,79.99,79.99,159.98,1,79.99,79.99,79.99,5,y,completely orderable,?,?,?,?,?,?,?,?,0,0,0,0,0,1
137,18,7,2424.162,23,12.99,199.99,571.31,1,14.99,14.99,14.99,2,y,completely orderable,25105,600,581,51,9,25,1,63,0,0,0,0,0,0
138,18,7,1403.2,33,19.99,299.99,1554.77,4,24.99,299.99,574.96,2,y,completely orderable,?,?,?,?,?,?,?,?,1,0,0,0,0,0
139,18,7,884.225,12,3.99,64.99,548.88,6,3.99,64.99,213.94,?,y,completely orderable,25106,4000,70,109,0,45,2,454,1,1.97215226305253E-31,1.97215226305253E-31,1.97215226305253E-31,1.97215226305253E-31,1
140,18,7,645.253,12,14.99,29.99,209.9,3,19.99,29.99,69.97,?,y,completely orderable,25107,600,498,35,1,57,1,202,1,0,0,0,0,1
141,18,7,141.809,5,59.95,109.95,349.75,2,59.95,59.95,119.9,2,y,completely orderable,?,?,?,?,?,?,?,?,1,5.04870979341448E-29,5.04870979341448E-29,5.04870979341448E-29,5.04870979341448E-29,0
142,18,7,2104.668,49,3.99,12.99,202.85,8,3.99,12.99,47.95,5,y,completely orderable,25108,3100,512,346,30,61,2,14,1,0.6150138889,0.6150138889,0.6150138889,0.6150138889,1
143,18,7,2680.061,8,699,799,3795,1,799,799,799,4,y,completely orderable,?,?,?,?,?,?,?,?,0,0,0,0,0,0
144,18,7,7843.099,198,1,159.99,2790.13,22,5,39.99,327.85,?,?,?,25109,1800,464,100,11,39,2,34,1,0.8323424495,0.8323424495,0.8323424495,0.8323424495,1
145,18,7,656.903,20,12.99,42.7,557.22,3,12.99,29.99,55.97,?,y,completely orderable,25110,1300,558,79,5,27,1,39,1,67.734375,67.734375,67.734375,67.734375,1
146,18,7,261.276,6,29.99,69.99,259.94,2,39.99,39.99,79.98,?,?,?,?,?,?,?,?,?,?,?,1,0,0,0,0,0
147,18,7,1281.464,7,349.99,449.99,2799.93,1,399.99,399.99,399.99,5,y,completely orderable,?,?,?,?,?,?,?,?,0,0,0,0,0,1
148,18,7,1686.989,0,?,?,?,0,?,?,?,5,y,completely orderable,?,?,?,?,?,?,?,?,0,0,0,0,0,1
149,18,7,6347.252,46,3,99.99,844.14,3,14.99,24.99,59.97,1,y,completely orderable,25111,2300,494,270,21,45,2,11,1,10.9375,10.9375,10.9375,10.9375,0
150,18,7,8846.594,142,1,699.99,15276.84,11,12.99,399.99,951.89,?,y,completely orderable,25112,600,581,34,0,44,2,74,1,187.234375,187.234375,187.234375,187.234375,1
151,18,7,463.752,18,99.99,109.99,719.93,1,99.99,99.99,99.99,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0,0,0
152,18,7,1879.467,36,7.95,579.99,1432.47,5,7.95,18.5,66.25,?,y,completely orderable,25105,600,581,51,9,25,1,63,1,6.053125,6.053125,6.053125,6.053125,0
153,18,7,2382.771,17,1,29.99,163.89,3,1,14.99,16.99,?,?,?,?,?,?,?,?,?,?,?,1,43.4933555556,43.4933555556,43.4933555556,43.4933555556,0
154,18,7,5.173,2,599.99,599.99,599.99,2,599.99,599.99,599.99,?,?,?,?,?,?,?,?,?,?,?,1,0,0,0,0,0
155,18,7,212.888,11,3,12.99,56.95,4,3,12.99,25.98,?,?,?,25113,2300,515,221,19,45,2,50,1,18.71251875,18.71251875,18.71251875,18.71251875,0
156,18,7,3383.535,62,9.99,39.99,1096.5,10,14.99,39.99,230.9,?,y,completely orderable,25114,4000,571,163,1,48,2,95,1,2.5951557093,2.5951557093,2.5951557093,2.5951557093,1
157,18,7,2658.861,27,9.99,29.99,605.73,4,9.99,29.99,79.96,1,y,completely orderable,25115,600,454,38,10,47,2,31,1,54.110301769,54.110301769,54.110301769,54.110301769,1
158,18,7,1719.895,24,6.99,99.99,519.22,7,6.99,99.99,192.74,?,y,completely orderable,25116,1400,503,220,13,45,2,39,1,29.2871972318,29.2871972318,29.2871972318,29.2871972318,1
159,18,7,3544.553,71,4.65,99.99,2305.42,4,19.99,99.99,239.92,?,y,completely orderable,25117,4000,70,216,2,46,2,353,1,5.859375,5.859375,5.859375,5.859375,1
160,18,7,1545.698,12,14.99,27.99,225.89,3,14.99,27.99,59.97,?,y,completely orderable,25118,600,449,7,1,41,1,39,1,0.4897959184,0.4897959184,0.4897959184,0.4897959184,1
161,18,7,0,3,99.99,169,398.98,3,99.99,169,398.98,?,?,?,?,?,?,?,?,?,?,?,1,0,0,0,0,0
162,18,7,590.002,12,7.99,39.95,240.81,12,7.99,39.95,240.81,5,y,completely orderable,25119,4000,557,202,11,43,2,102,1,17.1111111111,17.1111111111,17.1111111111,17.1111111111,1
163,18,7,1422.063,12,12.99,199.99,1659.88,1,199.99,199.99,199.99,1,y,completely orderable,25120,1600,530,100,5,53,2,229,0,0,0,0,0,0
