@relation database_class_mode_unknown

@attribute startHour numeric
@attribute startWeekday numeric
@attribute duration numeric
@attribute cCount numeric
@attribute cMinPrice numeric
@attribute cMaxPrice numeric
@attribute cSumPrice numeric
@attribute bCount numeric
@attribute bMinPrice numeric
@attribute bMaxPrice numeric
@attribute bSumPrice numeric
@attribute bStep numeric
@attribute onlineStatus {y,desconhecido,n}
@attribute availability {'completely orderable',desconhecido,'mainly orderable','completely not orderable',mixed,'completely not determinable','mainly not orderable'}
@attribute customerNo string
@attribute maxVal numeric
@attribute accountLifetime numeric
@attribute payments numeric
@attribute age numeric
@attribute lastOrder numeric
@attribute rCount numeric
@attribute bMinPriceVariance numeric
@attribute bMaxPriceVariance numeric
@attribute bMeanVariance numeric
@attribute cMeanVariance numeric
@attribute order {y,n}

@data
18,7,4399.213,50,5,39.9,864.27,9,12.99,19.99,129.91,1,y,'mainly orderable',25046,4000,217,3,48,146,1,0.979592,0.979592,0.979592,0.979592,n
18,7,1150.028,46,7,29.99,854.55,2,9.99,19.99,29.98,5,y,'completely orderable',25047,2400,219,26,46,24,1,13.888889,13.888889,13.888889,13.888889,y
18,7,1033.142,11,14.99,49.99,354.89,2,29.99,49.99,79.98,5,y,'completely orderable',25048,3000,243,10,62,64,1,43.75,43.75,43.75,43.75,y
18,7,4183.782,114,9.99,129.99,4096.43,7,9.99,59.99,200.9,5,desconhecido,desconhecido,25049,300,24,1,50,43,1,19.880841,19.880841,19.880841,19.880841,n
18,7,8433.742,100,4.99,199.99,9460.51,4,4.99,149.99,214.88,1,y,'completely orderable',25050,600,106,4,47,131,1,752.939495,752.939495,752.939495,752.939495,y
18,7,154.899,8,29.99,49.99,299.92,1,29.99,29.99,29.99,5,desconhecido,desconhecido,25051,200,223,10,51,31,0,0,0,0,0,n
18,7,3903.416,30,3,699.99,3241.86,2,79.99,399.99,479.98,5,y,'completely orderable',25052,4000,341,19,73,32,1,0,0,0,0,y
18,7,71.873,3,19.99,59.95,139.89,3,19.99,59.95,139.89,5,y,'completely orderable',25053,8500,223,33,50,5,1,325.877878,325.877878,325.877878,325.877878,y
18,7,192.97,10,14,19.99,175.94,2,19.99,19.99,39.98,4,y,'completely orderable',25054,0,178,9,35,7,1,0,0,0,0,n
18,7,1100.188,27,17.99,139.99,1943.75,10,17.99,139.99,563.92,5,y,'completely orderable',desconhecido,600,5,0,53,34,1,0,0,0,0,y
18,7,209.777,9,99,199,696,1,199,199,199,1,y,desconhecido,desconhecido,600,5,0,53,34,0,0,0,0,0,n
18,7,1395.358,16,9.99,19.99,224.86,2,9.99,17.99,27.98,5,y,'completely orderable',desconhecido,600,5,0,53,34,1,10.24,10.24,10.24,10.24,y
18,7,2798.544,40,4.99,24.99,567.69,6,4.99,24.99,102.94,5,y,'completely orderable',5985,3600,357,10,61,24,1,45.051903,45.051903,45.051903,45.051903,y
18,7,1291.75,47,3,44.99,630.74,1,9.99,9.99,9.99,5,desconhecido,desconhecido,desconhecido,600,5,0,53,34,0,0,0,0,0,n
18,7,1177.269,19,9.99,329.99,1509.85,3,14.99,29.99,64.97,5,desconhecido,desconhecido,desconhecido,600,5,0,53,34,1,50,50,50,50,n
18,7,33.44,5,49.99,49.99,249.95,1,49.99,49.99,49.99,5,desconhecido,desconhecido,desconhecido,600,5,0,53,34,0,0,0,0,0,n
18,7,4557.034,61,1,69.99,776.84,8,9.99,29.99,132.97,5,y,'completely orderable',25055,300,14,0,41,63,1,0.000021,0.000021,0.000021,0.000021,y
18,7,62.605,1,49.99,49.99,49.99,1,49.99,49.99,49.99,5,y,'completely orderable',desconhecido,600,5,0,53,34,0,0,0,0,0,n
18,7,874.942,15,19.99,20,279.87,4,19.99,19.99,79.96,5,y,'completely orderable',desconhecido,600,5,0,53,34,1,0,0,0,0,y
18,7,2117.586,20,9.99,9.99,189.81,3,9.99,9.99,29.97,1,y,'completely orderable',desconhecido,600,5,0,53,34,1,0,0,0,0,n
18,7,2874.579,31,17.99,59.95,1177.37,7,17.99,59.95,255.89,5,y,'completely orderable',25056,2700,231,5,48,129,1,23.75,23.75,23.75,23.75,y
18,7,1087.098,20,0,19.99,73.96,5,0,19.99,36.98,5,y,'completely orderable',25057,1000,45,43,33,7,1,45.869412,45.869412,45.869412,45.869412,y
18,7,7945.024,131,7,169.95,2911.96,13,7,39.99,255.88,5,y,'completely orderable',25058,1700,165,2,51,362,1,3.229209,3.229209,3.229209,3.229209,y
18,7,1264.035,47,5.95,799.99,3561.79,7,5.95,799.99,1037.77,2,y,'completely orderable',6205,1600,27,29,51,52,1,70.76591,70.76591,70.76591,70.76591,n
18,7,2492.864,17,39.99,379.99,4586.86,2,39.99,249.99,289.98,5,y,'completely orderable',desconhecido,600,5,0,53,34,1,6125,6125,6125,6125,y
18,7,314.765,8,14.99,24.99,169.92,2,14.99,24.99,39.98,4,y,'completely orderable',24636,2500,224,7,57,82,1,0,0,0,0,n
18,7,2132.185,27,3.99,59.99,240.81,4,3.99,9.99,27.96,5,y,'completely orderable',desconhecido,600,5,0,53,34,1,0,0,0,0,y
18,7,889.251,14,39.99,129.99,1394.86,1,129.99,129.99,129.99,5,y,'completely orderable',25059,1400,53,8,45,54,0,0,0,0,0,y
18,7,383.823,7,3.99,49.99,159.93,7,3.99,49.99,159.93,5,y,'completely orderable',desconhecido,600,5,0,53,34,1,38.34349,38.34349,38.34349,38.34349,y
18,7,211.343,10,19.99,24.99,224.9,2,19.99,24.99,44.98,5,y,'completely orderable',3310,1100,76,13,38,9,1,0,0,0,0,y
18,7,453.018,6,79.99,79.99,239.97,1,79.99,79.99,79.99,2,y,'completely orderable',desconhecido,600,5,0,53,34,0,0,0,0,0,n
18,7,3701.122,55,3.99,24.99,445.54,7,3.99,19.99,93.89,5,y,'completely orderable',desconhecido,600,5,0,53,34,1,0,0,0,0,y
18,7,25.041,1,49.99,49.99,49.99,1,49.99,49.99,49.99,1,y,'completely orderable',desconhecido,600,5,0,53,34,0,0,0,0,0,n
18,7,127.995,8,9.99,39.99,139.94,2,14.99,29.99,44.98,5,desconhecido,desconhecido,25060,600,5,0,26,18,1,0,0,0,0,n
18,7,971.257,10,9.9,19.99,159.53,3,19.95,19.99,59.89,5,y,'completely orderable',25061,4000,48,13,54,33,1,0.000094,0.000094,0.000094,0.000094,y
18,7,1459.234,9,9.99,59.95,195.83,9,9.99,59.95,195.83,5,y,'completely orderable',25062,600,100,2,53,33,1,14.547306,14.547306,14.547306,14.547306,y
18,7,1249.254,16,5.99,14.99,167.89,5,5.99,14.99,59.95,5,y,'completely orderable',25063,200,84,5,43,53,1,10.888889,10.888889,10.888889,10.888889,n
18,7,327.78,5,39.99,39.99,199.95,5,39.99,39.99,199.95,1,y,desconhecido,desconhecido,600,5,0,53,34,1,0,0,0,0,n
18,7,327.907,9,14.99,29.99,209.91,4,14.99,29.99,89.96,5,y,'completely orderable',25064,4000,228,5,43,99,1,4.43787,4.43787,4.43787,4.43787,y
18,7,245.302,11,7.99,9.99,94.89,1,8.99,8.99,8.99,5,desconhecido,desconhecido,desconhecido,600,5,0,53,34,0,0,0,0,0,n
18,7,8169.485,81,9.99,49.99,2509.76,8,12.99,49.99,248.92,5,y,'completely orderable',25065,1700,210,8,49,19,1,304.222222,304.222222,304.222222,304.222222,y
18,7,108.829,5,17.95,17.95,89.75,2,17.95,17.95,35.9,5,y,'completely orderable',25066,600,25,3,46,30,1,0,0,0,0,y
18,7,265.621,3,9.99,49.99,59.98,3,9.99,49.99,59.98,5,y,'completely orderable',25067,4000,223,15,58,79,1,276.54321,276.54321,276.54321,276.54321,n
18,7,1485.874,15,22.99,599.99,3057.85,3,22.99,399.99,462.97,5,y,'completely orderable',25068,600,52,244,56,8,1,17177.346939,17177.346939,17177.346939,17177.346939,y
18,7,262.125,5,179.99,179.99,719.96,1,179.99,179.99,179.99,2,y,'completely orderable',desconhecido,600,5,0,53,34,0,0,0,0,0,n
18,7,3177.349,94,7.99,549.99,1672.17,4,9.99,17.99,55.96,5,y,'completely orderable',desconhecido,600,5,0,53,34,1,11.061728,11.061728,11.061728,11.061728,y
18,7,353.061,3,179.99,179.99,539.97,1,179.99,179.99,179.99,1,y,'completely orderable',desconhecido,600,5,0,53,34,0,0,0,0,0,n
18,7,2220.123,39,17.95,399.99,1100.39,11,17.95,39.99,240.81,1,y,'completely orderable',25069,600,133,4,40,26,1,0,0,0,0,n
18,7,4243.712,53,69.99,1111,21617.73,8,79.99,888,3397.97,1,y,desconhecido,desconhecido,600,5,0,53,34,1,0,0,0,0,y
18,7,2301.473,44,7,27.99,510.64,5,9.99,14.99,63.95,5,y,'completely orderable',25070,600,218,4,51,26,1,2.204082,2.204082,2.204082,2.204082,y
18,7,1825.883,26,3.99,32.99,447.8,2,3.99,29.99,33.98,5,desconhecido,desconhecido,25071,1100,196,18,40,38,1,0,0,0,0,n
18,7,18.059,1,?,?,?,1,?,?,?,2,y,'completely orderable',desconhecido,600,5,0,53,34,0,0,0,0,0,n
18,7,5707.385,57,17.99,119.95,2653.5,5,17.99,49.99,162.91,5,y,'completely orderable',25072,1900,149,9,38,18,1,55.487528,55.487528,55.487528,55.487528,y
18,7,278.983,12,9.99,29.99,264.8,2,24.99,29.99,54.98,5,desconhecido,desconhecido,25073,2400,82,6,26,117,1,0,0,0,0,n
18,7,553.521,4,29.99,29.99,119.96,1,29.99,29.99,29.99,5,y,'completely orderable',desconhecido,600,5,0,53,34,0,0,0,0,0,y
18,7,371.078,2,15,15,30,1,15,15,15,5,y,'completely orderable',desconhecido,600,5,0,53,34,0,0,0,0,0,y
18,7,1792.01,8,29.99,64.99,339.92,3,29.99,64.99,134.97,5,y,'completely orderable',25074,600,15,14,30,33,1,13.888889,13.888889,13.888889,13.888889,y
18,7,87.971,2,79.99,79.99,159.98,1,79.99,79.99,79.99,5,desconhecido,desconhecido,desconhecido,600,5,0,53,34,0,0,0,0,0,n
18,7,4506.443,109,1,1699,3498.75,9,3,39.99,114.98,5,y,'completely orderable',desconhecido,600,5,0,53,34,1,117.899963,117.899963,117.899963,117.899963,y
18,7,120.7,12,14.99,39.95,239.61,2,15.99,15.99,31.98,5,desconhecido,desconhecido,desconhecido,600,5,0,53,34,1,0,0,0,0,n
18,7,116.107,5,3.99,29.99,97.95,2,3.99,29.99,33.98,5,y,'completely orderable',25075,3600,224,22,53,70,1,0,0,0,0,y
18,7,14.8,3,7.99,7.99,23.97,1,7.99,7.99,7.99,5,desconhecido,desconhecido,desconhecido,600,5,0,53,34,0,0,0,0,0,n
18,7,512.262,3,49.99,49.99,149.97,1,49.99,49.99,49.99,5,y,'completely orderable',desconhecido,600,5,0,53,34,0,0,0,0,0,y
18,7,0,2,14.99,22.99,37.98,2,14.99,22.99,37.98,5,desconhecido,desconhecido,desconhecido,600,5,0,53,34,1,0,0,0,0,n
18,7,761.276,29,9.99,59.99,561.71,5,14.99,59.99,129.95,1,y,'completely orderable',desconhecido,600,5,0,53,34,1,0,0,0,0,n
18,7,22.581,19,4.99,59.99,319.85,19,4.99,59.99,319.85,5,desconhecido,desconhecido,desconhecido,600,5,0,53,34,1,4.931873,4.931873,4.931873,4.931873,n
18,7,399.789,2,39.99,39.99,79.98,1,39.99,39.99,39.99,2,y,'completely orderable',desconhecido,600,5,0,53,34,0,0,0,0,0,n
18,7,1917.907,39,4.99,199.99,1643.6,11,4.99,199.99,463.9,5,y,'completely orderable',25076,4000,110,4,31,7,1,1219.089506,1219.089506,1219.089506,1219.089506,y
18,7,338.361,5,249.99,399.99,1849.95,2,399.99,399.99,799.98,5,y,'completely orderable',desconhecido,600,5,0,53,34,1,0,0,0,0,y
18,7,2040.493,15,19.99,69.99,341.87,1,19.99,19.99,19.99,2,y,'completely orderable',desconhecido,600,5,0,53,34,0,0,0,0,0,n
18,7,678.913,4,59.99,69.95,269.84,1,69.95,69.95,69.95,5,y,'completely orderable',25077,300,90,14,44,17,0,0,0,0,0,y
18,7,854.05,5,3.99,3.99,7.98,1,3.99,3.99,3.99,5,y,'completely orderable',25078,1600,146,12,44,134,0,0,0,0,0,y
18,7,7925.233,49,59.95,149.95,5727.65,5,89.95,139.95,609.75,5,y,'completely orderable',10157,600,10,10,30,7,1,276,276,276,276,y
18,7,1765.658,38,6.99,103.96,452.72,2,9.99,14.99,24.98,5,y,'completely orderable',25079,600,44,1,48,230,1,0,0,0,0,y
18,7,634.766,3,79.82,79.99,239.8,1,79.99,79.99,79.99,5,y,'completely orderable',25080,700,73,6,42,35,0,0,0,0,0,y
18,7,177.727,8,15.99,59.99,227.94,2,15.99,59.99,75.98,5,y,'completely orderable',25081,1400,43,12,50,139,1,430.222222,430.222222,430.222222,430.222222,y
18,7,1414.766,37,9.99,49.99,969.52,4,12.99,40,112.97,5,desconhecido,desconhecido,25082,600,5,0,20,15,1,0,0,0,0,y
18,7,363.248,2,19.99,19.99,39.98,2,19.99,19.99,39.98,2,y,'completely orderable',desconhecido,600,5,0,53,34,1,0,0,0,0,n
18,7,1428.302,55,1,24.99,356.74,7,3.99,12.99,75.93,5,y,'completely orderable',desconhecido,600,5,0,53,34,1,11,11,11,11,y
18,7,137.93,5,7.99,12.99,44.95,1,7.99,7.99,7.99,5,desconhecido,desconhecido,desconhecido,600,5,0,53,34,0,0,0,0,0,n
18,7,456.126,6,599.99,999.99,4719.94,2,659.99,899.99,1559.98,5,y,'completely orderable',desconhecido,600,5,0,53,34,1,2736,2736,2736,2736,n
18,7,4451.706,71,3.99,19.99,727.32,9,7,19.99,124.88,5,y,'completely orderable',25083,600,14,1,31,406,1,2.179304,2.179304,2.179304,2.179304,y
18,7,1481.414,12,3.99,449.99,2127.88,3,3.99,179.99,353.97,5,y,'completely orderable',25084,800,342,10,59,36,1,7018.765432,7018.765432,7018.765432,7018.765432,y
18,7,678.423,8,499,599,3474,1,?,?,?,1,y,'completely not orderable',25085,300,245,10,51,34,0,0,0,0,0,n
18,7,2824.902,2,99.99,99.99,199.98,1,99.99,99.99,99.99,5,desconhecido,desconhecido,desconhecido,600,5,0,53,34,0,0,0,0,0,n
18,7,1145.88,20,9.99,500,1141.81,5,9.99,64.99,107.95,5,desconhecido,desconhecido,25086,4000,219,14,49,113,1,0,0,0,0,y
18,7,396.031,17,39.99,79.95,1010.51,1,39.99,39.99,39.99,4,y,'completely orderable',25087,300,8,4,34,22,0,0,0,0,0,n
18,7,505.553,9,24.99,69.99,454.91,1,69.99,69.99,69.99,5,desconhecido,desconhecido,desconhecido,600,5,0,53,34,0,0,0,0,0,n
18,7,813.291,7,9.99,49.99,309.93,2,49.99,49.99,99.98,5,y,'completely orderable',desconhecido,600,5,0,53,34,1,0,0,0,0,y
18,7,1087.474,4,39.99,39.99,159.96,1,39.99,39.99,39.99,5,y,'completely orderable',desconhecido,600,5,0,53,34,0,0,0,0,0,y
18,7,885.257,17,19.99,65.95,870.71,3,19.99,59.99,139.97,2,y,'completely orderable',desconhecido,600,5,0,53,34,1,0,0,0,0,n
18,7,1345.165,4,99.99,99.99,399.96,1,99.99,99.99,99.99,1,y,'completely orderable',25088,500,88,19,26,72,0,0,0,0,0,n
18,7,5306.336,49,9.99,79.99,795.7,3,15,16.99,46.99,5,y,'completely orderable',25089,700,223,7,60,666,1,0,0,0,0,y
18,7,2731.407,46,29.99,169.95,2968.61,8,99.95,99.95,799.6,1,y,desconhecido,25090,4000,203,22,39,13,1,0,0,0,0,n
18,7,723.469,11,3.99,44.99,247.89,8,3.99,25.99,154.92,5,y,'completely orderable',25091,4000,268,10,52,13,1,0,0,0,0,y
18,7,22.503,1,6.99,6.99,6.99,1,6.99,6.99,6.99,5,y,'completely orderable',47,300,5,0,53,34,0,0,0,0,0,n
18,7,600.563,8,7.99,9.99,49.94,2,7.99,7.99,15.98,5,y,'completely orderable',25092,600,263,25,23,26,1,0,0,0,0,y
18,7,58.112,3,7,7,21,1,7,7,7,5,desconhecido,desconhecido,desconhecido,600,5,0,53,34,0,0,0,0,0,n
18,7,1730.828,36,6.99,29.99,332.78,4,6.99,29.99,58.96,5,y,'completely orderable',25093,600,18,0,64,551,1,24.969008,24.969008,24.969008,24.969008,y
18,7,6328.174,176,2.99,100,2417.16,14,2.99,14.99,103.93,1,y,'completely orderable',desconhecido,600,5,0,53,34,1,7.416402,7.416402,7.416402,7.416402,n
18,7,777.331,10,5.99,24.99,146.9,4,5.99,24.99,55.96,5,y,'completely orderable',25094,4000,215,5,64,39,1,32.01,32.01,32.01,32.01,y
18,7,4312.445,7,39.99,279.99,899.93,1,39.99,39.99,39.99,3,y,'completely orderable',25095,100,3,1,34,110,0,0,0,0,0,n
18,7,44.369,2,749.99,749.99,1499.98,1,749.99,749.99,749.99,1,y,'completely orderable',desconhecido,600,5,0,53,34,0,0,0,0,0,n
18,7,84.277,3,9.99,14.99,39.97,3,9.99,14.99,39.97,1,y,desconhecido,25096,1500,78,15,35,39,1,3.472222,3.472222,3.472222,3.472222,n
18,7,2022.122,28,1,24.99,191.93,4,3,24.99,60.97,5,y,'completely orderable',25097,4000,214,5,47,92,1,48.575224,48.575224,48.575224,48.575224,y
18,7,175.352,5,459.99,899.99,3519.95,1,899.99,899.99,899.99,5,y,'completely orderable',desconhecido,600,5,0,53,34,0,0,0,0,0,n
18,7,1866.104,22,1,39.99,256.95,3,7,14.99,31.99,5,y,'completely orderable',desconhecido,600,5,0,53,34,1,6.305195,6.305195,6.305195,6.305195,y
18,7,10.742,2,59.99,59.99,119.98,1,59.99,59.99,59.99,5,desconhecido,desconhecido,desconhecido,600,5,0,53,34,0,0,0,0,0,n
18,7,125.961,2,369.99,369.99,739.98,1,369.99,369.99,369.99,3,y,'completely orderable',desconhecido,600,5,0,53,34,0,0,0,0,0,n
18,7,732.259,38,9.99,69.99,1166.62,3,19.99,29.99,79.97,5,desconhecido,desconhecido,desconhecido,600,5,0,53,34,1,10.9375,10.9375,10.9375,10.9375,n
18,7,746.402,14,19.99,19.99,79.96,2,19.99,19.99,39.98,5,desconhecido,desconhecido,desconhecido,600,5,0,53,34,1,0,0,0,0,n
18,7,1917.769,22,14.99,29.99,395.8,5,14.99,29.99,98.95,5,desconhecido,desconhecido,25098,4000,219,10,46,15,1,0,0,0,0,n
18,7,4.35,1,3.99,3.99,3.99,1,3.99,3.99,3.99,1,y,'completely orderable',desconhecido,600,5,0,53,34,0,0,0,0,0,n
18,7,2355.478,29,19.99,99.99,389.91,2,34.99,49.99,84.98,5,y,'completely orderable',desconhecido,600,5,0,53,34,1,27.55102,27.55102,27.55102,27.55102,y
18,7,11.598,4,29.99,29.99,119.96,1,29.99,29.99,29.99,5,desconhecido,desconhecido,desconhecido,600,5,0,53,34,0,0,0,0,0,n
18,7,954.687,15,12.99,24.99,210.87,1,12.99,12.99,12.99,5,y,'completely orderable',25099,4000,310,5,58,27,0,0,0,0,0,n
18,7,12.762,1,659.99,659.99,659.99,1,659.99,659.99,659.99,1,y,'completely orderable',21348,500,9,5,65,174,0,0,0,0,0,n
18,7,45.188,2,12.99,12.99,25.98,1,12.99,12.99,12.99,2,y,'completely orderable',desconhecido,600,5,0,53,34,0,0,0,0,0,n
18,7,405.877,5,29.99,39.99,99.97,1,29.99,29.99,29.99,2,y,'completely orderable',desconhecido,600,5,0,53,34,0,0,0,0,0,n
18,7,1729.51,33,9.99,89.99,1006.72,3,9.99,69.99,109.97,1,y,desconhecido,25100,1500,369,0,55,210,1,0,0,0,0,n
18,7,4567.48,76,4.99,79.99,1696.02,10,9.99,19.99,112.9,5,y,'completely orderable',25101,3900,253,17,48,24,1,0,0,0,0,y
18,7,1488.349,21,0.99,269.99,1961.9,1,269.99,269.99,269.99,5,y,'completely orderable',25102,300,1,0,44,6,0,0,0,0,0,y
18,7,446.333,8,9.99,49.99,319.92,2,49.99,49.99,99.98,5,y,'completely orderable',25103,4000,141,4,29,335,1,0,0,0,0,y
18,7,3397.627,2,19.99,29.99,49.98,1,19.99,19.99,19.99,5,y,'completely orderable',25104,800,140,22,32,24,0,0,0,0,0,y
18,7,4250.777,72,3.99,124.95,2296.33,4,3.99,16.99,52.96,3,y,'completely orderable',desconhecido,600,5,0,53,34,1,20.91358,20.91358,20.91358,20.91358,n
18,7,743.591,3,79.99,79.99,159.98,1,79.99,79.99,79.99,5,y,'completely orderable',desconhecido,600,5,0,53,34,0,0,0,0,0,y
18,7,2424.162,23,12.99,199.99,571.31,1,14.99,14.99,14.99,2,y,'completely orderable',25105,600,51,9,25,63,0,0,0,0,0,n
18,7,1403.2,33,19.99,299.99,1554.77,4,24.99,299.99,574.96,2,y,'completely orderable',desconhecido,600,5,0,53,34,1,0,0,0,0,n
18,7,884.225,12,3.99,64.99,548.88,6,3.99,64.99,213.94,5,y,'completely orderable',25106,4000,109,0,45,454,1,0,0,0,0,y
18,7,645.253,12,14.99,29.99,209.9,3,19.99,29.99,69.97,5,y,'completely orderable',25107,600,35,1,57,202,1,0,0,0,0,y
18,7,141.809,5,59.95,109.95,349.75,2,59.95,59.95,119.9,2,y,'completely orderable',desconhecido,600,5,0,53,34,1,0,0,0,0,n
18,7,2104.668,49,3.99,12.99,202.85,8,3.99,12.99,47.95,5,y,'completely orderable',25108,3100,346,30,61,14,1,0.615014,0.615014,0.615014,0.615014,y
18,7,2680.061,8,699,799,3795,1,799,799,799,4,y,'completely orderable',desconhecido,600,5,0,53,34,0,0,0,0,0,n
18,7,7843.099,198,1,159.99,2790.13,22,5,39.99,327.85,5,desconhecido,desconhecido,25109,1800,100,11,39,34,1,0.832342,0.832342,0.832342,0.832342,y
18,7,656.903,20,12.99,42.7,557.22,3,12.99,29.99,55.97,5,y,'completely orderable',25110,1300,79,5,27,39,1,67.734375,67.734375,67.734375,67.734375,y
18,7,261.276,6,29.99,69.99,259.94,2,39.99,39.99,79.98,5,desconhecido,desconhecido,desconhecido,600,5,0,53,34,1,0,0,0,0,n
18,7,1281.464,7,349.99,449.99,2799.93,1,399.99,399.99,399.99,5,y,'completely orderable',desconhecido,600,5,0,53,34,0,0,0,0,0,y
18,7,1686.989,0,?,?,?,0,?,?,?,5,y,'completely orderable',desconhecido,600,5,0,53,34,0,0,0,0,0,y
18,7,6347.252,46,3,99.99,844.14,3,14.99,24.99,59.97,1,y,'completely orderable',25111,2300,270,21,45,11,1,10.9375,10.9375,10.9375,10.9375,n
18,7,8846.594,142,1,699.99,15276.84,11,12.99,399.99,951.89,5,y,'completely orderable',25112,600,34,0,44,74,1,187.234375,187.234375,187.234375,187.234375,y
18,7,463.752,18,99.99,109.99,719.93,1,99.99,99.99,99.99,5,desconhecido,desconhecido,desconhecido,600,5,0,53,34,0,0,0,0,0,n
18,7,1879.467,36,7.95,579.99,1432.47,5,7.95,18.5,66.25,5,y,'completely orderable',25105,600,51,9,25,63,1,6.053125,6.053125,6.053125,6.053125,n
18,7,2382.771,17,1,29.99,163.89,3,1,14.99,16.99,5,desconhecido,desconhecido,desconhecido,600,5,0,53,34,1,43.493356,43.493356,43.493356,43.493356,n
18,7,5.173,2,599.99,599.99,599.99,2,599.99,599.99,599.99,5,desconhecido,desconhecido,desconhecido,600,5,0,53,34,1,0,0,0,0,n
18,7,212.888,11,3,12.99,56.95,4,3,12.99,25.98,5,desconhecido,desconhecido,25113,2300,221,19,45,50,1,18.712519,18.712519,18.712519,18.712519,n
18,7,3383.535,62,9.99,39.99,1096.5,10,14.99,39.99,230.9,5,y,'completely orderable',25114,4000,163,1,48,95,1,2.595156,2.595156,2.595156,2.595156,y
18,7,2658.861,27,9.99,29.99,605.73,4,9.99,29.99,79.96,1,y,'completely orderable',25115,600,38,10,47,31,1,54.110302,54.110302,54.110302,54.110302,y
18,7,1719.895,24,6.99,99.99,519.22,7,6.99,99.99,192.74,5,y,'completely orderable',25116,1400,220,13,45,39,1,29.287197,29.287197,29.287197,29.287197,y
18,7,3544.553,71,4.65,99.99,2305.42,4,19.99,99.99,239.92,5,y,'completely orderable',25117,4000,216,2,46,353,1,5.859375,5.859375,5.859375,5.859375,y
18,7,1545.698,12,14.99,27.99,225.89,3,14.99,27.99,59.97,5,y,'completely orderable',25118,600,7,1,41,39,1,0.489796,0.489796,0.489796,0.489796,y
18,7,0,3,99.99,169,398.98,3,99.99,169,398.98,5,desconhecido,desconhecido,desconhecido,600,5,0,53,34,1,0,0,0,0,n
18,7,590.002,12,7.99,39.95,240.81,12,7.99,39.95,240.81,5,y,'completely orderable',25119,4000,202,11,43,102,1,17.111111,17.111111,17.111111,17.111111,y
18,7,1422.063,12,12.99,199.99,1659.88,1,199.99,199.99,199.99,1,y,'completely orderable',25120,1600,100,5,53,229,0,0,0,0,0,n
18,7,236.994,12,3.99,39.99,224.88,12,3.99,39.99,224.88,5,y,'completely orderable',25121,600,75,3,53,7,1,21.17284,21.17284,21.17284,21.17284,y
18,7,2826.216,32,14.99,59.99,995.62,3,14.99,59.99,109.97,5,y,'completely orderable',desconhecido,600,5,0,53,34,1,43.75,43.75,43.75,43.75,y
18,7,2857.985,25,19.99,599,908.88,3,19.99,19.99,59.97,5,y,'completely orderable',25122,800,21,2,37,23,1,0,0,0,0,y
18,7,1927.754,40,7.99,24.99,582.64,5,9.99,24.99,91.95,5,desconhecido,desconhecido,25123,4000,53,12,25,103,1,0,0,0,0,n
18,7,2448.258,65,3.99,99.95,868.39,12,3.99,29.99,163.88,5,y,'completely orderable',25124,600,147,6,39,30,1,4.109375,4.109375,4.109375,4.109375,y
